fecha;Open;High;Low;Close;Volume;Currency
09/06/2020;46.405;46.785;45.401;45.873;8408530;USD
10/06/2020;45.88;47.051;45.674;46.653;9300326;USD
11/06/2020;46.657;46.927;42.161;43.252;12475279;USD
12/06/2020;43.262;45.335;42.832;44.742;9902997;USD
13/06/2020;44.742;45.183;44.304;45.104;7811132;USD
14/06/2020;45.107;45.118;43.602;44.039;7295428;USD
15/06/2020;44.047;44.073;41.858;43.752;11277159;USD
16/06/2020;43.752;44.171;43.413;43.873;9324726;USD
17/06/2020;43.868;44.705;43.085;44.083;8152832;USD
18/06/2020;44.08;44.21;42.871;43.444;6380302;USD
19/06/2020;43.444;43.676;42.74;42.887;4658740;USD
20/06/2020;42.887;43.853;42.367;43.59;5932924;USD
21/06/2020;43.588;43.822;42.889;42.996;5226866;USD
22/06/2020;42.996;44.634;42.943;44.292;7059096;USD
23/06/2020;44.292;44.486;43.907;44.171;4653575;USD
24/06/2020;44.167;44.648;42.219;42.625;9241441;USD
25/06/2020;42.625;42.982;41.795;42.341;7727209;USD
26/06/2020;42.336;43.517;41.435;43.07;10301782;USD
27/06/2020;43.068;43.102;39.323;41.078;7534158;USD
28/06/2020;41.077;42.013;40.474;41.396;6891160;USD
29/06/2020;41.396;42.243;40.647;41.837;7528369;USD
30/06/2020;41.842;42.015;40.818;41.196;6597870;USD
01/07/2020;41.194;41.964;41.016;41.728;6190046;USD
02/07/2020;41.728;41.9;40.391;41.05;7114164;USD
03/07/2020;41.05;41.678;40.911;41.212;6223290;USD
04/07/2020;41.211;42.172;41.12;42.077;5754521;USD
05/07/2020;42.077;42.166;40.812;41.657;5624895;USD
06/07/2020;41.657;44.208;41.523;44.093;10929773;USD
07/07/2020;44.097;44.419;43.07;43.364;7397890;USD
08/07/2020;43.364;45.599;43.074;45.348;13315489;USD
09/07/2020;45.333;45.866;43.587;44.368;11850147;USD
10/07/2020;44.367;44.595;43.486;44.307;11398600;USD
11/07/2020;44.307;44.77;43.891;44.697;10644407;USD
12/07/2020;44.696;45.251;43.745;44.737;23410468;USD
13/07/2020;44.737;45.586;42.741;43.922;24846972;USD
14/07/2020;43.943;44.045;42.859;43.896;17605856;USD
15/07/2020;43.896;44.07;42.9;43.35;9513683;USD
16/07/2020;43.35;43.501;40.967;42.081;9108417;USD
17/07/2020;42.081;42.464;41.723;41.892;8696708;USD
18/07/2020;41.892;42.848;41.749;42.468;7350405;USD
19/07/2020;42.468;42.884;41.84;42.647;6693447;USD
20/07/2020;42.633;42.802;41.486;41.954;6781134;USD
21/07/2020;41.954;44.079;41.88;43.785;7196307;USD
22/07/2020;43.786;45.09;43.206;44.983;7854502;USD
23/07/2020;44.984;45.644;44.522;44.939;10987187;USD
24/07/2020;44.939;44.959;43.951;44.1;6609279;USD
25/07/2020;44.1;49.503;44.038;49.153;13618384;USD
26/07/2020;49.154;50.738;47.69;48.073;16205581;USD
27/07/2020;48.072;55.63;47.001;53.258;19590248;USD
28/07/2020;53.263;57.706;51.794;55.756;17792820;USD
29/07/2020;55.754;56.966;54.972;55.166;13083650;USD
30/07/2020;55.17;58.529;53.987;56.737;17693322;USD
31/07/2020;56.738;59.207;55.799;58.156;12083594;USD
01/08/2020;58.16;62.217;57.561;61.637;16687514;USD
02/08/2020;61.637;65.098;52.585;56.76;20581270;USD
03/08/2020;56.766;60.002;55.891;58.485;11485566;USD
04/08/2020;58.488;59.569;56.531;57.601;10275194;USD
05/08/2020;57.601;59.76;56.885;58.864;10757042;USD
06/08/2020;58.864;60.633;57.704;59.044;11626759;USD
07/08/2020;59.043;60.995;55.082;57.186;10730276;USD
08/08/2020;57.186;58.531;56.489;58.446;6579806;USD
09/08/2020;58.445;58.667;56.098;56.949;5785355;USD
10/08/2020;56.949;59.39;56.69;58.281;11357577;USD
11/08/2020;58.281;59.668;52.484;54.102;14128516;USD
12/08/2020;54.102;55.018;51.726;54.516;15002790;USD
13/08/2020;54.517;57.284;51.951;57.133;16021315;USD
14/08/2020;57.135;57.726;55.917;56.679;13349629;USD
15/08/2020;56.679;60.593;56.6;59.868;18732240;USD
16/08/2020;59.822;64.552;58.156;63.88;19186232;USD
17/08/2020;63.881;68.877;61.552;67.198;20197384;USD
18/08/2020;67.199;68.354;63.636;65.45;20151690;USD
19/08/2020;65.447;67.108;58.961;62.105;17506736;USD
20/08/2020;62.104;63.541;61.024;62.783;14906432;USD
21/08/2020;62.783;63.871;58.815;59.152;16335106;USD
22/08/2020;59.181;60.497;57.789;60.228;12519268;USD
23/08/2020;60.228;61.605;58.051;60.537;12575723;USD
24/08/2020;60.546;62.987;59.973;62.092;12766989;USD
25/08/2020;62.09;62.292;56.687;58.349;13874419;USD
26/08/2020;58.347;59.062;57.028;58.087;11473630;USD
27/08/2020;58.087;59.232;54.046;56.076;12687581;USD
28/08/2020;56.083;58.184;55.334;57.412;13957323;USD
29/08/2020;57.41;58.188;56.952;56.952;11647842;USD
30/08/2020;56.952;62.883;56.931;62.87;14946665;USD
31/08/2020;62.87;63.677;60.588;60.957;14606223;USD
01/09/2020;60.957;64.273;59.857;62.73;13690796;USD
02/09/2020;62.697;63.168;56.658;58.087;14907721;USD
03/09/2020;58.06;58.6;45.646;47.444;16626605;USD
